NAME	TITLE	SCORE	
UBL3		42.0382	
SESN1		42.0072	
NBR1		42.0048	
ATG2B		42.003	
SPEG		41.9624	
DSTYK		41.8944	
RIOX2		41.8874	
GLUL		41.879	
RAPGEF1		41.8745	
USP13		41.8508	
C1orf43		41.8225	
CPSF2		41.7809	
PRCC		41.7514	
ZFAND5		41.7407	
BTBD1		41.7243	
GALNT2		41.7183	
RAB12		41.6918	
SECISBP2		41.6501	
HOXA4		41.6266	
MTRR		41.6191	
TRIM32		41.6111	
NAA30		41.5636	
GNPAT		41.5566	
METTL21C		41.5532	
IPO5		41.551	
ANO6		41.5362	
GPRC5C		41.5357	
CACNA2D1		41.4668	
NSUN5		41.4648	
DEK		41.4548	
DMRT2		41.4429	
GKAP1		41.4055	
ROCK2		41.4003	
FABP7		41.3725	
PITHD1		41.3624	
NOP9		41.3233	
BACH1		41.3011	
NACA		41.2968	
HECW1		41.2945	
ZNF532		41.2543	
KLHL8		41.2506	
RINT1		41.243	
NRBP1		41.2113	
METTL22		41.2085	
RCOR1		41.1708	
CHAF1A		41.1464	
IQSEC2		41.1283	
CD99L2		41.0058	
GSTZ1		40.9754	
CDKAL1		40.9522	
PSMF1		40.9504	
PIGH		40.9269	
BOD1		40.9223	
PLIN3		40.918	
NPLOC4		40.9151	
MAPKAPK5		40.9066	
PHKB		40.8977	
STAG1		40.8834	
ZNF644		40.8809	
LBP		40.8496	
TRIM7		40.8464	
GSPT1		40.8451	
PAX1		40.8399	
PUM1		40.8376	
KPNA4		40.7826	
SLC35E1		40.7303	
TXNRD3		40.7256	
CYREN		40.7208	
SIX6		40.6983	
NOM1		40.6952	
PTCD1		40.6747	
VAPB		40.657	
NOA1		40.6457	
YBX1		40.622	
NUFIP1		40.6082	
EYA4		40.5803	
NYAP2		40.5714	
FAM53C		40.5541	
ATG9A		40.519	
FTCDNL1		40.507	
EI24		40.5	
CCDC28B		40.4873	
CALCR		40.4862	
NNAT		40.4277	
PRPF8		40.4225	
ZNF131		40.4147	
NOTUM		40.4119	
ADSSL1		40.3698	
SOD2		40.3457	
ARHGAP28		40.2702	
PNPLA3		40.2699	
SCYL1		40.2689	
GPATCH3		40.2405	
FAM160A1		40.2384	
LCA5L		40.2303	
TAF6L		40.2286	
HOOK3		40.2269	
FEZ2		40.215	
ODC1		40.2136	
SMAD1		40.1954	
RPTOR		40.1731	
PSMB5		40.1574	
UBAP1		40.1198	
SLC9A8		40.1109	
MIGA1		40.1094	
RRM2B		40.0958	
GNAL		40.0783	
HOXA3		40.0731	
NT5DC3		40.0722	
GNA13		40.0364	
WDR26		40.0272	
RANBP10		40.025	
KDM1B		40.0049	
TUT4		40.0027	
UTP4		39.9699	
CELF1		39.9662	
AUTS2		39.9272	
HELZ		39.8963	
CUL2		39.8962	
ATP9B		39.8753	
NGDN		39.8619	
NET1		39.8519	
BRD7		39.8295	
KHDRBS3		39.826	
CLINT1		39.8228	
SMYD4		39.8013	
CNST		39.7901	
USP9X		39.7663	
MSL3		39.7498	
RPLP0		39.6994	
ZRANB1		39.6792	
USP32		39.642	
ZC3H12C		39.6359	
RBM38		39.6204	
ICE1		39.5973	
NOP14		39.5853	
POLR2C		39.5839	
RPS13		39.5669	
STAG2		39.5656	
ARAF		39.557	
TOLLIP		39.5127	
NAA16		39.5032	
MED28		39.5026	
ASB2		39.4906	
HS3ST5		39.4863	
EEA1		39.4814	
MYH14		39.4716	
CGREF1		39.4669	
RPAP2		39.4557	
FAM214A		39.4364	
EIF3A		39.3958	
WNT4		39.3843	
RPS24		39.3736	
ZFAND6		39.3355	
C1orf127		39.3158	
DEDD		39.3147	
KCNJ12		39.3141	
CNNM3		39.3012	
LRRC66		39.2714	
KATNA1		39.2431	
C18orf21		39.2235	
PKNOX1		39.192	
SCRIB		39.1902	
MCM3AP		39.178	
FBXO45		39.1625	
EMC4		39.1517	
AP4E1		39.1483	
UHRF1BP1L		39.1384	
MPP5		39.1277	
RPL30		39.1255	
SPPL2A		39.1153	
NOC2L		39.0771	
UBR4		39.0741	
MPV17L		39.0733	
ZBTB43		39.0375	
NPTX1		38.9752	
EPM2A		38.9634	
SART3		38.9558	
BCL2L11		38.9316	
FBXO28		38.9116	
MORC3		38.8997	
SHISA2		38.892	
HTATSF1		38.873	
UBXN4		38.8493	
C11orf53		38.8481	
DGKZ		38.834	
RDX		38.8112	
IREB2		38.8095	
ASB4		38.797	
KDM3B		38.7952	
PM20D2		38.7929	
